country_code,country,emergency,primary,secondary,notes
IN,India,112,Tele MANAS: 14416,KIRAN: 1800-599-0019,AASRA directory at aasra.info
US,United States,911,988 Suicide & Crisis Lifeline,,Text/Call 988
GB,United Kingdom,999,Samaritans: 116 123,,24/7 free
